,Part Number,Supplier Name,Description,Quantity,Price,Total Cost,Margin %,Months No Sale
47920,5101H371A,ducati,fog light,2,41.99,67.02000000000001,20.195284591569425,1
47925,51025101A,ducati,kit protection can filter cabl,1,33.99,25.93,23.712856722565466,52
48022,51141542007,bmw,"logotype, front-wheel cover,",-1,176.99,127.22,28.12023278151308,5
48031,51142308800,bmw,badge,2,23.99,33.12,30.971238015839937,7
48037,51142328447,bmw,badge,4,23.99,66.24,30.971238015839937,5
48044,51147659495,bmw,"tank sticker, left",1,145.99,104.4,28.48825262004247,7
48046,51147659496,bmw,"tank sticker, right",1,145.99,104.4,28.48825262004247,7
48053,51147677409,bmw,"instruction notice, payload",4,29.99,84.96,29.17639213071024,7
48061,51147685457,bmw,"sticker, fuel tank, top",1,98.99,70.56,28.720072734619663,7
48099,51148358229,bmw,decor tank cover left,1,28.99,20.52,29.21697136943774,7
48106,51148388733,bmw,lettering left,1,108.99,78.25999999999999,28.195247270391786,7
48107,51148388734,bmw,lettering right,1,108.99,78.25999999999999,28.195247270391786,7
48121,51148406669,bmw,"decor, rear side section, le",1,130.99,93.6,28.54416367661653,7
48125,51148525067,bmw,"emblem f800r, left",1,125.99,90.0,28.565759187237084,7
48134,51148534884,bmw,lettering right,1,175.99,126.0,28.405023012671176,7
48146,51148545114,bmw,label,1,54.99,39.24,28.641571194762683,7
48154,51148551845,bmw,lettering left,1,115.99,82.8,28.614535735839297,7
48156,51148551846,bmw,lettering right,1,115.99,82.8,28.614535735839297,7
48159,51148551849,bmw,"decor, lower left",1,115.99,82.8,28.614535735839297,7
48166,51148556868,bmw,"model emblem for s1000r, rig",1,130.99,93.6,28.54416367661653,7
48169,51148561448,bmw,"decor fairing side panel, fr",1,235.99,169.2,28.30204669689394,7
48171,51148565943,bmw,"decor rear trim panel, left",1,150.99,108.0,28.47208424398967,7
48303,51162347199,bmw,cup,2,110.99,158.39999999999998,28.642220019821607,7
48307,51162347237,bmw,mirror glass,2,130.99,187.2,28.54416367661653,7
48309,51162347238,bmw,mirror glass,1,130.99,93.6,28.54416367661653,7
48345,51167673982,bmw,clamping,2,51.99,73.44,29.37103289094056,7
48349,51167677857,bmw,rear view mirror,1,120.99,86.39999999999999,28.58913959831392,7
48352,51167679903,bmw,left rear view mirror,1,560.99,403.2000000000001,28.127061088432946,7
48379,51167698694,bmw,adapter,2,20.99,28.8,31.39590281086232,2
48386,51167710463,bmw,mirror left,-1,320.99,230.4,28.2220629926166,6
48389,51167712834,bmw,clamping,3,44.99,96.12000000000002,28.78417426094688,7
48391,51167713993,bmw,mirror,1,56.99,40.68000000000001,28.619055974732404,14
48402,51167715865,bmw,clamping,2,49.99,70.92,29.065813162632526,7
48424,51167728819,bmw,mirror left,1,365.99,262.8,28.194759419656272,7
48441,51168388740,bmw,mirror right,1,58.99,42.120000000000005,28.59806746906256,7
48448,51168406497,bmw,mirror left,1,466.99,317.06,32.10561253988308,1
48453,51168528632,bmw,mirror right,1,210.99,151.20000000000002,28.337835916394138,7
48456,51168532143,bmw,mirror left,1,135.99,97.20000000000002,28.524156187955,7
48464,51168547454,bmw,mirror right,2,175.49,224.0,36.17869964100519,7
48470,51168557885,bmw,left rear view mirror,2,515.99,721.0,30.134304928390087,7
48472,51168557886,bmw,right rear view mirror,1,530.99,371.0,30.13051093240928,7
48475,51168562354,bmw,mirror right,1,285.99,205.2,28.24923948389804,0
48483,51168567453,bmw,mirror left,1,140.99,100.8,28.50556777076388,7
48565,51251233554,bmw,key (blank),1,31.99,25.0,21.85057830572054,7
48593,51252308118,bmw,catch,1,31.99,22.68,29.10284463894968,7
48604,51252313229,bmw,key (blank),4,44.99,143.20000000000002,20.42676150255612,7
48610,51252313287,bmw,steering lock (with key code,2,59.99,82.6,31.155192532088684,7
48619,51252337268,bmw,rep.kit f lock cylinder stee,1,33.99,20.47,39.77640482494851,7
48620,51252337269,bmw,rep.kit f lock cylinder,1,37.99,28.22,25.71729402474336,7
48630,51252346499,bmw,standard key (blank),2,44.99,71.60000000000001,20.42676150255612,7
48634,51257660860,bmw,set of suitcase locks,2,76.99,109.86,28.653071827510068,7
48636,51257660863,bmw,set of locks top case,2,61.99,87.86000000000001,29.13373124697532,7
48657,51257687029,bmw,"topcase locking mechanism, l",1,104.99,70.82,32.545956757786456,0
48659,51257688566,bmw,set of suitcase locks,7,64.99,327.04,28.112017233420527,7
48663,51257688568,bmw,lock cylinder with key,5,48.99,175.65,28.291488058787507,7
48667,51257688841,bmw,lock cylinder set for case,1,61.99,43.93000000000001,29.13373124697532,7
48671,51257688957,bmw,lock cylinder with key,8,48.99,281.04,28.291488058787507,7
48677,51257696170,bmw,set of locks case/top case,9,168.99,1089.27,28.38037753713237,7
48681,51257698202,island bmw,rep.kit f lock cylinder,23,40.99,663.5500000000001,29.616979751158816,0
48684,51257698204,bmw,rep.kit f lock cylinder,13,37.99,366.86,25.71729402474336,0
48696,51258393958,bmw,rep.kit f lock cylinder,8,57.99,368.0,20.675978617002933,7
48699,51258406057,bmw,repair kit key bit,1,31.99,25.0,21.85057830572054,0
48700,51258406057,bmw,repair kit key bit,1,31.99,25.0,21.85057830572054,0
48871,5141025,polaris,"peg-feeler,floorboard",3,31.99,76.76999999999998,20.006251953735543,9
48949,5143494-266,polaris,"housing-rear lighting,blk",1,147.99,103.59,30.002027163997564,0
48958,51452353024,bmw,set felt strip self-adhesive,1,63.99,44.74,30.08282544147523,7
48982,5146-003-130-500,klim,latitude jacket m black,1,889.95,578.47,34.99971908534187,7
48994,5146-004-140-001,klim,latitude jacket lg stealth,1,1019.95,662.97,34.999754889945585,3
48996,5146-004-150-604,klim,latitude jacket xl cool gray,1,1019.95,662.97,34.999754889945585,3
49035,5147-004-034-604,klim,latitude pant 34 cool gray,1,829.95,539.47,34.99969877703476,2
49036,5147-004-036-001,klim,latitude pant 36 stealth black,1,829.95,539.47,34.99969877703476,3
49045,514753,kimpex,helm atlas sl bedrock gy m ckx,1,519.99,363.99,30.00057693417181,3
49048,514756,kimpex,helm atlas sl bedrock gy 2xl,1,519.99,363.99,30.00057693417181,1
49049,514757,kimpex,helm atlas sl bedrock gy 3xl,1,519.99,363.99,30.00057693417181,1
49053,514776,kimpex,helm atlas sl bedrock sand 2xl,1,519.99,363.99,30.00057693417181,1
49055,514777,kimpex,helm atlas sl bedrock sand 3xl,1,519.99,363.99,30.00057693417181,1
49072,514826,kimpex,helm atlas sl solid bk mat 2xl,2,499.99,699.98,30.00060001200024,1
49073,514827,kimpex,helm atlas sl solid bk mat 3xl,1,499.99,349.99,30.00060001200024,1
49096,515-1058,moto international,140/80-17tl 69t k60 scout m+s,1,329.99,214.49,35.00106063820116,5
49099,515-1061,moto international,170/60b17tl 72s k60 sc m+s,1,382.99,248.94,35.000913861980735,0
49104,515-1078,moto international,110/80b19tl 59t k60 sc m+s,2,271.99,353.58000000000004,35.001286812015145,1
49106,515-1080,moto international,120/70b19tl 60s k60 sc m+s,1,286.99,186.54,35.00121955468832,0
49115,515103,kimpex,helm revolt decoy gy m ckx,1,129.99,84.49000000000001,35.00269251480883,8
49116,515104,kimpex,helm revolt decoy gy l ckx,2,129.99,168.98000000000002,35.00269251480883,8
49117,515105,kimpex,helm revolt decoy gy xl ckx,2,129.99,168.98000000000002,35.00269251480883,8
49118,515106,kimpex,helm revolt decoy gy 2xl ckx,1,129.99,84.49000000000001,35.00269251480883,8
49143,51640042A,ducati,horn,1,59.99,47.5,20.82013668944824,7
49193,51840051B,ducati,"coil antenna, immobilizer",2,102.99,163.54,20.60394213030392,7
49278,52010271C,ducati,headlight,1,429.99,343.98,20.00279076257588,2
49347,523-2540,moto international,100/90 to 130/60-17 tr6 heid tube,-1,25.99,16.89,35.01346671796845,6
49354,523-2595,moto international,3.00 to 90/100-21 tr6 heid tube,-1,27.99,18.19,35.01250446588068,6
49369,52310442A,ducati,rear-view mirror r.h.,1,122.99,86.0,30.07561590373201,7
49373,52310452A,ducati,rear-view mirror l.h.,1,122.99,86.0,30.07561590373201,7
49396,52320091AB,ducati,"mirror, right yellow",1,277.99,194.17,30.152163746897365,7
49405,52320391A,ducati,rear-view mirror r.h.,2,308.99,493.2000000000001,20.191591960904884,7
49407,52320391B,ducati,rear-view mirror r.h.,1,308.99,240.58,22.139875076863326,61
49425,52320431D,ducati,rear-view mirror r.h.,1,144.99,101.26000000000002,30.160700737981927,86
49428,52320441A,ducati,rear-view mirror l.h.,1,167.99,117.31,30.16846240847669,7
49447,52340241A,ducati,right mirror,1,130.99,91.51000000000002,30.13970532101687,7
49449,52340242AA,ducati,right mirror,1,130.99,91.54,30.11680280937476,7
49453,52340251A,ducati,left mirror,1,130.99,91.51000000000002,30.13970532101687,7
49455,52340252AA,ducati,left mirror,1,130.99,91.54,30.11680280937476,7
49529,52510413A,ducati,tail light r.h.,1,321.99,224.77,30.19348426969782,7
49533,52510424A,ducati,tail light l.h.,1,327.99,229.26,30.10152748559407,7
49535,52510431E,ducati,"lamp, license plate",1,60.99,41.32,32.251188719462206,45
49552,52510692A,ducati,taillight,1,421.99,294.74,30.154743003388703,7
49553,52512324933,bmw,plate spring,1,86.99,61.92,28.81940452925624,7
49608,52531540889,bmw,passenger seat brown heated,1,1030.99,679.8,34.0633759784285,7
49685,52537652853,bmw,locking kit,1,81.99,52.16,36.382485668984025,7
49782,52537921810,bmw,"seat, extra low",1,790.99,521.4000000000001,34.08260534267184,5
49786,52538394291,bmw,low-profile bench seat,2,790.99,1042.8000000000002,34.08260534267184,2
49787,52538394291,bmw,low-profile bench seat,2,790.99,1042.8000000000002,34.08260534267184,2
49790,52538405364,bmw,bench seat,1,665.99,438.9,34.098109581224946,7
49792,52538405366,bmw,"seat, heated",1,865.99,570.9000000000001,34.0754512176815,7
49804,52538534316,bmw,driver's seat,1,730.99,481.8,34.089385627710364,7
49816,52538544780,bmw,"driver's seat, black, low",1,730.99,481.8,34.089385627710364,7
49850,52538564839,bmw,"bench seat, comfort",1,915.99,603.9000000000001,34.07133265647004,4
49852,52538564853,bmw,seat latch,2,76.61,105.84,30.922856024017754,7
49855,52539443820,bmw,"driver's seat, black, heated",-1,950.99,627.0,34.06870734708041,5
49856,52539444676,bmw,"bracket, rider's seat",1,30.99,21.96,29.138431752178125,7
49860,52539457789,bmw,rider's seat comfort low hea,1,1050.99,693.0,34.062169954043334,5
49864,52539480745,bmw,low-profile bench seat,1,790.99,521.4000000000001,34.08260534267184,7
49886,5258421-922,polaris,"tip-muffler,g blk",2,70.99,98.68,30.49725313424426,2
49947,5262087,thibault canada,karoo 4 tire 130/80r17 (65q) - rr,1,437.99,284.69,35.0007991050024,2
50011,5262804-01,polaris,"console-inner,pat3202m",1,141.99,92.29,35.00246496232129,21
50096,5264425,thibault canada,150/70r18 mc/tl 70v tourance n,1,401.99,261.29,35.00087066842458,10
50214,53010412B,ducati,turn indicator,1,94.99,75.49,20.528476681755976,7
50218,53010491A,ducati,turn indicator,1,109.99,76.5,30.4482225656878,4
50316,53170-mje-305,vancouver island,lever assy r hndl,1,90.93,90.93,0.0,2
50375,537-1316,moto international,"rok strap 60""x1"" coyote",1,36.99,24.040000000000003,35.00946201676128,0
50402,538121,thibault canada,ytx14h-bs (yb14-a2yb14-b2)yuasa,1,171.99,120.39,30.00174428745857,7
50417,53910211B,ducati,neutral switch assy,1,24.99,16.599999999999998,33.5734293717487,7
50419,53910223A,ducati,"switch assy, side stand",1,89.99,62.94,30.05889543282587,7
50432,53910236B,ducati,"switch, stand",1,93.99,63.88,32.0353229066922,82
50437,53910351A,ducati,"switch, stand",1,98.99,68.8,30.498030104050915,6
50440,53910401B,ducati,microswitch,1,72.99,50.83,30.360323331963286,1
50450,53940031C,ducati,"switch, stop",1,44.99,30.25,32.76283618581907,45
50462,53940035A,ducati,"switch, rear brake",1,50.99,35.69,30.005883506569912,7
50463,53940035B,ducati,"switch, rear brake",3,50.99,107.07,30.005883506569912,4
50480,53940431A,ducati,"switch, clutch",3,134.99,283.41,30.01703829913327,7
50482,53940551A,ducati,"switch, stop",1,102.99,71.91999999999999,30.167977473541125,7
50485,53940581A,ducati,microinterr. 110.4418.30 bremb,1,54.99,37.09,32.55137297690489,45
50487,53940611A,ducati,microswitch,1,136.99,92.99,32.11913278341484,7
50492,53940801A,ducati,microswitch,2,121.99,170.24,30.223788835150422,2
50526,54040111C,ducati,voltage regulator,1,198.99,135.48000000000002,31.91617669229609,60
50537,54040321A,ducati,voltage regulator,1,201.99,141.39,30.001485222040696,7
50587,5414648,polaris,damper-cush drive,1,83.99,54.59,35.00416716275747,5
50628,5415825,polaris,filter-air-intake,3,115.99,243.57,30.002586429864643,0
50642,5416282,polaris,"grip-non-throttle,heated",1,198.99,149.24,25.001256344539925,4
50649,5416595,polaris,gasket-primary cover inner,3,51.99,109.17,30.005770340450084,22
50752,5451837,polaris,"plug-pass peg,lh",5,25.99,84.45,35.01346671796845,26
50753,5451838,polaris,"plug-pass peg,rh",2,25.99,33.78,35.01346671796845,26
50812,5455021-727,polaris,"bezel-lock,saddlebag,lh,",1,153.99,107.79,30.001948178453148,9
50827,5455671-685,polaris,"cover-side,upr,lh,smksgbsh",1,544.99,381.49,30.00055046881594,0
50884,5458388-02,polaris,"cowl wind defl-bobclub,tinted",1,314.99,220.49,30.00095241118765,2
50885,5458388-02,polaris,"cowl wind defl-bobclub,tinted",1,314.99,220.49,30.00095241118765,2
50887,5459224-866,polaris,"cowl-outer,oblksmk",1,506.99,354.89,30.000591727647485,0
50897,5465424-01,polaris,"deflector-mid,clear",1,232.99,163.09,30.001287608910253,0
51131,55212121B,ducati,"sensor, speed",2,274.99,429.06,21.98625404560165,7
51135,55213181D,ducati,detector,2,79.99,124.79999999999998,21.99024878109764,45
51140,55213333A,ducati,holder,1,239.99,163.34,31.93883078461603,45
51161,55240121A,ducati,"sensor, air temperature",1,64.99,51.81999999999999,20.26465610093861,7
51176,55241311A,ducati,air temp.sensor 1098s/07,1,64.99,44.22999999999999,31.94337590398523,45
51180,55241441A,ducati,"sensor, pressure",1,114.99,91.59,20.349595617010173,7
51182,55241452A,ducati,"sensor, temperature",1,78.99,62.47,20.914039751867325,7
51194,55243731B,ducati,"sensor, pressure",1,104.99,83.63,20.344794742356413,7
51196,55243941A,ducati,gearbox position sensor,1,111.99,89.16999999999999,20.37681935887133,7
51422,555-05067,moto international,rfx1 lthr black 3xl,1,339.99,209.43,38.40112944498368,28
51561,555-06475,moto international,wfx3 wp black xl,1,89.99,62.99,30.00333370374486,16
51579,555-06792,moto international,wfx city long gtx black s,1,179.99,125.99,30.0016667592644,20
51669,55610901AA,ducati,side stand,1,50.99,44.68,12.37497548538929,2
51700,55621013AA,ducati,side stand,1,284.99,227.88,20.039299624548228,7
51718,558.8,wurth,butane solder gun,1,89.99,89.99,0.0,2
51732,56-166,gamma sales inc.,fork oil seal & dust seal kit,1,35.99,24.020000000000003,33.259238677410394,46
51945,56221-01D10-0FP,suzuki,h/bar holder lh,1,121.99,87.69,28.11705877530945,79
51973,563-1030,moto international,carbon guards only - incl.,3,265.99,518.6700000000001,35.00131583894131,20
51982,563-1061,moto international,hware trimph qtiger 800/xc 120,1,152.99,93.47,38.90450356232434,0
51983,563-1063,moto international,wind deflector(2)white for,1,31.99,20.79,35.0109409190372,1
51987,563-1155,moto international,storm plastic guards only. bla,2,56.99,74.08000000000001,35.00614142832075,1
51989,563-1156,moto international,storm plastic guards only. whi,3,56.99,111.12000000000002,35.00614142832075,8
51991,563-1162,moto international,hware kit s7 sgl.pt. bar-end t,1,105.99,68.88999999999999,35.003302198320604,20
51994,563-1191,moto international,"hware enfield him (16-),",1,152.99,93.48000000000002,38.89796718739787,1
51997,563-1217,moto international,hware triumph tiger 900(19-),4,152.99,397.7600000000001,35.00228773122426,0
51999,563-1234,moto international,hardware kit tiger 1200  2022,1,152.99,99.44,35.00228773122426,1
52000,563-1234,moto international,hardware kit tiger 1200  2022,1,152.99,99.44,35.00228773122426,1
52058,56410711A,ducati,"guard, flap",1,215.99,151.14,30.024538173063565,7
52088,564P1402AJ,ducati,front mudguard,1,393.99,275.54,30.064214827787502,6
52175,566-11013,moto international,trax 2 lock set,1,24.99,17.99,28.01120448179272,7
52179,566-11176,moto international,ion one tank bag 5-9 litre,1,211.99,152.63,28.00132081701967,6
52195,566-12683,moto international,crashbar thruxton /,1,333.99,240.47000000000003,28.000838348453545,0
52201,566-13093,moto international,trt.00.640.30601/b q-l evo tkr,5,55.99,201.55,28.005000893016607,1
52222,566-14459,moto international,crashbar bmw f750 / 850 gs (17-,1,463.99,334.07000000000005,28.000603461281493,0
52228,566-14545,moto international,ion tank ring,1,27.99,20.15,28.01000357270454,6
52239,566-14738,moto international,bc.trs.00.104.30000..pro city,1,404.99,291.59000000000003,28.00069137509568,1
52241,566-14740,moto international,bc.trs.00.108.30000.pro daypac,1,289.99,208.79,28.00096555053623,0
52242,566-14741,moto international,bc.trs.00.110.30000..pro micro,1,231.99,167.031,28.00077589551273,1
52247,566-14767,moto international,trt.00.787.30600/b  pro tankri,3,55.99,120.939,27.99964279335596,1
52256,566-14928,moto international,sidestand foot tiger 900/gt,2,122.99,177.1,28.0022766078543,13
52259,566-14939,moto international,trt.00.787.16100/b.pro tankring,1,55.99,40.31,28.005000893016607,0
52271,566-15104,moto international,pro seat ring,2,92.99,133.89999999999998,28.00301107645983,1
52691,574161/A,royal enfield,temperature sensor,2,47.99,61.580000000000005,35.84080016670139,10
52723,574265/D,royal enfield,"fd sprocket comp,engine 15t (#",2,37.99,50.38,33.69307712555936,10
52730,574306/C,royal enfield,gasket cover rh,1,71.99,46.2,35.82442005834144,10
52744,574318/C,royal enfield,gasket cover lh,1,51.99,33.6,35.372186959030586,10
52751,574337/E,royal enfield,cable - clutch,3,34.99,67.2,35.98170905973135,10
52752,574337/F,royal enfield,clutch cable assy.,1,34.99,22.39,36.010288653901114,10
52812,575040/E,royal enfield,pan oil,1,90.99,58.78999999999999,35.38850423123421,9
52818,575247/D,royal enfield,cylinder head cover gasket,17,29.99,322.32,36.77892630876959,0
52841,576029/C,royal enfield,air filter element,10,32.99,209.90000000000003,36.37465898757199,10
52842,576047/C,royal enfield,cable - throttle,3,70.99,138.6,34.92041132553881,10
52844,576078/B,royal enfield,guard-silencer,1,67.99,43.38999999999999,36.18179143991764,10
52845,576079/B,royal enfield,guard exh.pipe,2,22.99,30.78,33.057851239669425,10
52943,581007/A,royal enfield,air filter element,8,34.99,179.12,36.010288653901114,0
53160,583952/B,royal enfield,rear view mirror rh,1,21.99,14.18,35.51614370168259,0
53161,583953/B,royal enfield,rear view mirror lh,1,64.99,41.28999999999999,36.46714879212187,0
53230,58540311A,ducati,"reservoir, brake fluid",1,23.99,16.159999999999997,32.63859941642352,7
53329,587001/D,royal enfield,handlebar complete,1,37.99,23.790000000000003,37.37825743616741,10
53338,587317/A,royal enfield,hand grip lh,1,20.99,13.989999999999998,33.34921391138638,10
53339,587334/A,royal enfield,chain rear,1,104.99,68.59,34.66996856843509,10
53341,587343/A,royal enfield,air filter element,6,29.99,113.34,37.01233744581528,9
53355,587752/B,royal enfield,sprocket - rear drive,1,55.99,36.39,35.00625111627077,10
53386,58962,kimpex,protectant uv cleaner &,34,20.99,463.75999999999993,35.016674606955696,3
53399,59-2010-BIM,british imports moto internationalrcycles,xtreme chrome teardrop,1,45.99,28.51,38.00826266579691,59
53536,590273/B,royal enfield,speedocable complete,-1,20.99,13.989999999999998,33.34921391138638,2
53561,59100-40810,suzuki,pad set suzuki = fa236,1,69.99,48.99,30.00428632661809,0
53636,59210221E,ducati,fuel level gauge,1,142.99,111.39,22.099447513812155,53
53665,59300-27860,suzuki,pad set  fa135,1,97.99,63.28,35.42198183488111,74
53707,59340301A,ducati,"electric moto internationalr, exhaust valve",1,427.99,333.49,22.079955139138765,7
53741,594698/A,royal enfield,brake pad kit rear caliper-nt,3,46.99,92.37,34.47542030219195,0
53745,594711/A,royal enfield,lever kit front m/c,6,25.99,100.74,35.39823008849557,10
53747,594715/A,royal enfield,brake pad set front caliper,6,46.99,184.74,34.47542030219195,9
53909,59810173B,ducati,key with transponder 868 mhz a,2,235.99,368.06,22.01788211364888,45
53926,59810356A,ducati,key 868 mhz zadi reset lasi no,1,145.99,113.72,22.104253716007943,51
53938,59820611A,ducati,seat lock,1,93.99,74.5,20.73624853707841,7
53959,59820927B,ducati,kit hands free + key psart par,1,1037.99,809.56,22.0069557510188,7
54002,59821891A,ducati,kit lock 1306,1,136.99,108.98,20.44674793780568,7
54011,59840113A,ducati,key blank,2,20.99,29.66,29.347308242020016,7
54013,59840161A,ducati,"key, blank w/transmitter",1,56.99,45.33,20.45972977715389,41
54022,59840311B,ducati,key with transponder passive,1,83.99,66.83,20.431003690915585,71
54024,59840321A,ducati,wrench with transponder,1,79.99,54.5,31.8664833104138,45
54030,59840361A,ducati,key with transponder,2,99.99,155.73999999999998,22.122212221222124,7
54164,60-07780,zero moto internationalrcycles,left hand switch gear,-1,148.99,96.76000000000002,35.05604402980065,5
54356,6076-001-000-400,klim,d30 hip protection,1,49.99,30.270000000000003,39.44788957791558,7
54431,61041881A,ducati,piston d16 spare part front br,4,25.99,78.35999999999999,24.624855713736054,3
54433,61041891A,ducati,piston spare part front,4,25.99,78.35999999999999,24.624855713736054,45
54435,61041941A,ducati,brembo clutch floating piston,3,38.99,100.95000000000002,13.695819440882277,45
54455,61117652030,bmw,tail part wiring harness,1,74.99,49.92,33.43112414988666,7
54459,61117679885,bmw,tail part wiring harness,1,120.99,80.39999999999999,33.54822712620878,7
54477,61118532309,bmw,tail part wiring harness,1,170.99,113.9,33.38791742207147,7
54498,61122303023,bmw,tubing,1,58.99,38.86,34.12442786913036,7
54514,61127685348,bmw,"repair kit, wiring harness",2,185.99,247.90000000000003,33.356632076993385,7
54519,61127691725,bmw,adapter cable for alternator,1,56.99,37.52,34.16388840147394,7
54521,61127695204,bmw,"repair line, oil pressure sw",1,58.99,38.86,34.12442786913036,7
54524,61127698138,bmw,"adapter lead, ignition and l",1,130.99,87.10000000000001,33.50637453240705,7
54528,61127699643,bmw,adapter lead for temperature,2,62.99,83.08000000000001,34.05302428956977,7
54533,61127712581,bmw,"connection cable, socket",1,100.99,67.0,33.65679770274285,7
54552,61128528425,bmw,seat connection cable,1,120.99,80.39999999999999,33.54822712620878,7
54555,61128544442,bmw,adapter cable for gps naviga,2,31.99,39.88,37.6680212566427,7
54558,61128548714,bmw,wiring harness for audio sys,1,815.99,546.05,33.08128776087943,7
54561,61128548716,bmw,"adapter wire, seat heater, d",3,35.99,71.37,33.89830508474576,7
54571,61131243660,bmw,holder,1,28.99,19.5,32.73542600896861,7
54608,61131391630,bmw,plug-in socket,2,64.99,88.22,32.12801969533775,7
54618,61132359997,bmw,rep. kit for socket housing,3,37.99,74.49000000000001,34.64069491971571,7
54716,61211233028,bmw,rubber mounting,1,46.99,29.540000000000003,37.135560757608,5
54737,61212305050,bmw,rubber mounting,5,39.99,129.20000000000002,35.38384596149037,7
54796,61218042140,bmw,tension strap,1,34.99,23.93,31.609031151757645,7
54813,61218406853,bmw,compensating plate,1,33.99,23.76,30.097087378640776,7
54817,61218504075,bmw,lithium-ion battery,1,640.99,409.6,36.09884709589853,3
54829,61218533905,bmw,thermal protection,1,80.99,57.96,28.43560933448574,7
54839,61218563911,bmw,lithium-ion battery,1,420.99,268.8,36.1505023872301,7
54843,61240052A,ducati,dust cover,14,24.99,235.9,32.57302921168468,45
54909,61311243097,bmw,switch,2,106.99,153.56,28.23628376483784,7
54917,61311243414,bmw,oil pressure switch,2,36.99,48.02,35.09056501757232,7
54927,61311243865,bmw,combination switch left,1,182.99,124.4,32.018143067927205,7
54937,61311244420,bmw,combination switch left,1,182.99,124.4,32.018143067927205,7
54956,61311373585,bmw,relay,2,41.99,56.080000000000005,33.222195760895445,7
54958,61311373588,bmw,mini-relay,1,54.99,35.11,36.15202764138934,7
54961,61311373916,bmw,relay,1,195.99,131.06,33.12924128782081,7
54965,61311459003,bmw,bulb testing device,1,410.99,295.2,28.173434876761,7
54968,61311459008,bmw,starter relay,1,215.99,154.8,28.33001527848511,7
54975,61311459234,bmw,"switch, heated handlebar gri",1,163.99,118.01000000000002,28.038295017988897,7
54978,61311459306,bmw,additional switch,1,163.99,118.01000000000002,28.038295017988897,7
54990,61311459675,bmw,relay,2,65.99,93.6,29.080163661160785,7
54992,61311459676,bmw,safety relay abs,1,76.99,55.08,28.458241330042867,7
55008,61312300388,bmw,"heated handle, right",1,164.99,103.52,37.25680344263289,7
55014,61312305729,bmw,front stop light switch,2,170.99,244.8,28.416866483420083,7
55016,61312305735,bmw,clutch switch,1,180.99,129.60000000000002,28.39383391347588,7
55021,61312305955,bmw,brake light switch foot brak,1,110.99,79.19999999999999,28.642220019821607,7
55024,61312305988,bmw,brake light switch foot brak,1,110.99,79.19999999999999,28.642220019821607,7
55046,61312316927,bmw,tone sequence control,2,196.99,283.14,28.13340778719732,7
55053,61312346460,bmw,ignition/light switch,2,255.99,367.2000000000001,28.27844837688972,7
55060,61312346552,bmw,stop light switch,1,110.99,79.19999999999999,28.642220019821607,7
55064,61312346566,bmw,starter relay,1,225.99,162.0,28.31541218637993,7
55075,61317650269,bmw,housing,1,215.99,146.2,32.31168109634706,7
55083,61317653173,bmw,"heated handle, left",-1,165.99,102.3,38.36978131212723,3
55085,61317653174,bmw,"heated handle, right",1,225.99,139.5,38.2716049382716,3
55097,61317660446,bmw,lower section of switch hous,1,35.99,25.56,28.98027229786052,7
55102,61317670038,bmw,combination switch f htd han,2,523.99,753.98,28.053970495620145,7
55104,61317671111,bmw,microswitch,1,42.99,30.24,29.65806001395673,5
55107,61317671612,bmw,handle right,3,235.99,437.1,38.26009576676978,2
55109,61317673550,bmw,handle right,1,140.99,86.80000000000001,38.43535002482445,7
55119,61317680531,bmw,left grooved handle,1,165.99,102.3,38.36978131212723,1
55144,61317689823,bmw,light switch,1,176.99,127.43,28.001582010283062,7
55156,61317694850,bmw,handle right,1,140.99,86.80000000000001,38.43535002482445,7
55158,61317694892,bmw,switch-housing upper section,1,57.99,41.040000000000006,29.229177444386963,7
55162,61317694982,bmw,combination switch f htd han,1,523.99,376.99,28.053970495620145,7
55183,61317704617,bmw,combination switch left,1,575.99,414.7000000000001,28.00222226080314,7
55193,61317707943,bmw,voltage regulator,1,340.99,244.8,28.20903838822253,7
55222,61317709496,bmw,right grooved handle,1,135.99,83.70000000000002,38.45135671740569,7
55235,61317714238,bmw,throttle grip,1,235.99,145.7,38.26009576676978,7
55239,61317721851,bmw,handle left,2,165.99,204.6,38.36978131212723,7
55242,61317723713,bmw,handle left,1,165.99,102.3,38.36978131212723,7
55250,61317725696,bmw,combination switch right,2,218.99,332.26,24.13808849719165,7
55255,61317725743,bmw,combination switch left,1,218.99,166.13,24.13808849719165,7
55263,61317727498,bmw,multi-controller,-1,256.99,194.86,24.176037978131447,5
55277,61318388642,bmw,"switch, kickstand",1,175.99,126.0,28.405023012671176,4
55281,61318394246,bmw,combination switch right,1,335.99,254.9,24.134646864490016,7
55300,61318522480,bmw,throttle grip,2,235.99,291.4,38.26009576676978,7
55323,61318534422,bmw,e-throttle grip,1,450.99,279.0,38.1361005787268,7
55332,61318546168,bmw,combination switch right,1,418.99,301.58000000000004,28.0221484999642,7
55336,61318546172,bmw,combination switch right,1,388.99,279.83000000000004,28.06241805701946,7
55340,61318546176,bmw,combination switch right,1,368.99,228.73,38.01187024038592,7
55345,61318546185,bmw,combination switch left,1,453.99,280.89,38.12859314081808,7
55361,61318546225,bmw,combination switch left,1,539.99,334.41,38.07107539028501,7
55368,61318546303,bmw,combination switch left,1,838.99,520.1700000000001,38.000452925541424,7
